ID,Answer
565,4
566,4
567,4
568,1
569,4
570,2
571,1
572,1
573,1
574,1
575,1
576,1
577,4
578,4
579,2
580,4
581,3
582,4
583,3
584,3
585,4
586,4
587,3
588,4
589,4
590,3
591,4
592,3
593,4
594,3
595,2
596,1
597,4
598,3
599,2
600,1
601,3
602,4
603,2
604,2
605,3
606,4
607,2
608,1
609,3
610,3
611,2
612,1
613,2
614,4
615,4
616,2
617,4
618,1
619,2
620,3
621,4
622,2
623,2
624,2
625,1
626,3
627,2
628,2
629,4
630,3
631,1
632,4
633,1
634,1
635,4
636,1
637,2
638,3
639,1
640,3
641,2
642,1
643,2
644,4
645,4
646,4
647,2
648,4
649,2
650,1
651,4
652,4
653,3
654,4
655,3
656,3
657,1
658,4
659,1
660,3
661,2
662,4
663,1
664,4
665,2
666,4
667,1
668,4
669,4
670,4
671,4
672,1
673,2
674,4
675,4
676,4
677,4
678,3
679,3
680,4
681,4
682,4
683,4
684,4
685,3
686,3
687,4
688,4
689,4
690,1
691,3
692,4
693,3
694,3
695,1
696,1
697,2
698,1
699,2
700,3
701,1
702,3
703,1
704,2
705,3
706,4
707,1
708,4
709,3
710,1
711,1
712,4
713,3
714,4
715,3
716,2
717,1
718,3
719,2
720,1
721,1
722,3
723,4
724,4
725,1
726,4
727,1
728,1
729,2
730,1
731,1
732,2
733,1
734,3
735,3
736,2
737,3
738,4
739,4
740,3
741,2
742,4
743,4
744,3
745,4
746,1
747,1
748,1
749,4
750,1
751,4
752,4
753,2
754,4
755,4
756,2
757,4
758,4
759,3
760,4
761,1
762,2
763,4
764,2
765,1
766,2
767,4
768,3
769,3
770,4
771,3
772,4
773,2
774,1
775,2
776,4
777,2
778,2
779,1
780,1
781,4
782,4
783,4
784,4
785,2
786,4
787,2
788,4
789,4
790,3
791,4
792,4
793,3
794,4
795,2
796,4
797,3
798,3
799,3
800,1
801,4
802,1
803,3
804,2
805,1
806,4
807,4
808,4
809,3
810,4
811,1
812,4
813,4
814,1
815,4
816,3
817,3
818,3
819,3
820,2
821,1
822,4
823,4
824,1
825,4
826,4
827,2
828,2
829,4
830,4
831,4
832,1
833,3
834,1
835,3
836,4
837,4
838,1
839,2
840,4
841,4
842,2
843,3
844,3
845,2
846,3
847,1
848,3
849,4
850,2
851,2
852,2
853,2
854,3
855,2
856,1
857,4
858,3
859,2
860,2
861,1
862,2
863,2
864,3
865,4
866,2
867,2
868,4
869,4
870,2
871,4
872,4
873,4
874,3
875,3
876,3
877,2
878,2
879,4
880,4
881,3
882,1
883,2
884,4
885,4
886,1
887,1
888,4
889,3
890,2
891,2
892,1
893,3
894,3
895,4
896,3
897,3
898,4
899,4
900,4
901,2
902,4
903,3
904,2
905,3
906,2
907,2
908,4
909,1
910,1
911,3
912,1
913,4
914,4
915,3
916,4
917,4
918,4
919,3
920,4
921,1
922,1
923,4
924,4
925,2
926,1
927,3
928,4
929,1
930,3
931,2
932,2
933,4
934,4
935,3
936,1
937,2
938,2
939,3
940,1
941,3
942,3
943,2
944,3
945,4
946,4
947,4
948,2
949,3
950,4
951,3
952,3
953,3
954,4
955,4
956,3
957,3
958,1
959,2
960,4
961,3
962,3
963,1
964,1
965,2
966,3
967,3
968,2
969,3
970,2
971,3
972,4
973,4
974,1
975,1
976,2
977,3
978,3
979,3
980,2
981,4
982,3
983,4
984,1
985,1
986,4
987,3
988,1
989,1
990,4
991,4
992,2
993,1
994,4
995,2
996,4
997,2
998,2
999,1
1000,2
1001,4
1002,4
1003,3
1004,4
1005,1
1006,3
1007,2
1008,3
1009,2
1010,1
1011,3
1012,4
1013,2
1014,2
1015,1
1016,3
1017,4
1018,3
1019,4
1020,4
1021,2
1022,3
1023,1
1024,4
1025,4
1026,2
1027,1
1028,1
1029,2
1030,2
1031,4
1032,1
1033,3
1034,4
1035,2
1036,4
1037,2
1038,1
1039,4
1040,2
1041,4
1042,4
1043,3
1044,1
1045,4
1046,3
1047,4
1048,2
1049,2
1050,2
1051,3
1052,2
1053,1
1054,2
1055,4
1056,2
1057,3
1058,4
1059,3
1060,4
1061,3
1062,2
1063,2
1064,4
1065,4
1066,1
1067,3
1068,2
1069,2
1070,4
1071,2
1072,2
1073,4
1074,4
1075,4
1076,3
1077,4
1078,1
1079,4
1080,3
1081,4
1082,1
1083,2
1084,1
1085,3
1086,4
1087,4
1088,4
1089,2
1090,1
1091,2
1092,4
1093,3
1094,1
1095,4
1096,3
1097,3
1098,1
1099,1
1100,4
1101,2
1102,4
1103,2
1104,4
1105,4
1106,2
1107,1
1108,4
1109,2
1110,4
1111,1
1112,1
1113,3
1114,2
1115,2
1116,4
1117,4
1118,1
1119,1
1120,3
1121,3
1122,4
1123,2
1124,4
1125,1
1126,3
1127,4
1128,2
1129,3
1130,3
1131,4
1132,3
1133,4
1134,1
1135,1
1136,3
1137,1
1138,4
1139,3
1140,4
1141,4
1142,4
1143,4
1144,1
1145,2
1146,4
1147,4
1148,1
1149,3
1150,4
1151,2
1152,1
1153,2
1154,4
1155,4
1156,3
1157,3
1158,4
1159,4
1160,3
1161,4
1162,4
1163,2
1164,3
1165,3
1166,2
1167,3
1168,1
1169,4
1170,4
1171,3
1172,4
1173,2
1174,4
1175,4
1176,3
1177,4
1178,4
1179,3
1180,4
1181,3
1182,1
1183,3
1184,4
1185,4
1186,4
1187,3
1188,2
1189,3
1190,1
1191,4
1192,3
1193,4
1194,2
1195,3
1196,1
1197,3
1198,1
1199,4
1200,2
1201,1
1202,4
1203,2
1204,4
1205,2
1206,4
1207,1
1208,2
1209,3
1210,3
1211,3
1212,3
1213,3
1214,2
1215,1
1216,4
1217,4
1218,1
1219,1
1220,4
1221,1
1222,4
1223,3
1224,2
1225,1
1226,3
1227,1
1228,2
1229,1
1230,4
1231,3
1232,1
1233,4
1234,3
1235,2
1236,4
1237,4
1238,1
1239,4
1240,2
1241,4
1242,2
1243,4
1244,3
1245,4
1246,1
1247,2
1248,4
1249,4
1250,1
1251,4
1252,1
1253,1
1254,2
1255,3
1256,2
1257,1
1258,2
1259,4
1260,3
1261,2
1262,3
1263,1
1264,4
1265,4
1266,2
1267,4
1268,4
1269,4
1270,4
1271,3
1272,1
1273,4
1274,4
1275,4
1276,1
1277,4
1278,2
1279,3
1280,1
1281,1
1282,1
1283,2
1284,2
1285,4
1286,1
1287,4
1288,3
1289,3
1290,1
1291,1
1292,2
1293,2
1294,1
1295,4
1296,3
1297,4
1298,3
1299,3
1300,4
1301,4
1302,4
1303,1
1304,4
1305,1
1306,4
1307,4
1308,3
1309,4
1310,3
1311,2
1312,2
1313,1
1314,3
1315,4
1316,4
1317,4
1318,1
1319,1
1320,4
1321,4
1322,4
1323,1
1324,4
1325,3
1326,1
1327,3
1328,4
1329,3
1330,3
1331,3
1332,2
1333,1
1334,4
1335,1
1336,4
1337,3
1338,3
1339,4
1340,1
1341,4
1342,3
1343,1
1344,2
1345,1
1346,2
1347,1
1348,3
1349,3
1350,2
1351,4
1352,3
1353,4
1354,4
1355,3
1356,4
1357,3
1358,2
1359,4
1360,1
1361,1
1362,3
1363,4
1364,3
1365,3
1366,3
1367,4
1368,1
1369,3
1370,3
1371,1
1372,4
1373,2
1374,1
1375,4
1376,1
1377,1
1378,2
1379,3
1380,4
1381,4
1382,4
1383,4
1384,2
1385,3
1386,2
1387,3
1388,4
1389,4
1390,4
1391,2
1392,1
1393,1
1394,1
1395,3
1396,4
1397,1
1398,2
1399,3
1400,3
1401,4
1402,1
1403,3
1404,1
1405,4
1406,1
1407,4
1408,1
1409,3
1410,4
1411,4
1412,3
1413,4
1414,2
1415,3
1416,4
1417,1
1418,4
1419,4
1420,4
1421,4
1422,2
1423,4
1424,1
1425,3
1426,1
1427,4
1428,1
1429,4
1430,4
1431,1
1432,4
1433,3
1434,3
1435,1
1436,2
1437,3
1438,2
1439,4
1440,4
1441,1
1442,3
1443,4
1444,3
1445,4
1446,4
1447,4
1448,1
1449,2
1450,3
1451,3
1452,4
1453,4
1454,1
1455,2
1456,1
1457,3
1458,4
1459,3
1460,3
1461,3
1462,3
1463,4
1464,3
1465,2
1466,1
1467,4
1468,1
1469,1
1470,2
1471,4
1472,1
1473,3
1474,4
1475,1
1476,3
1477,4
1478,2
1479,4
1480,4
1481,1
1482,1
1483,4
1484,3
1485,2
1486,2
1487,1
1488,3
1489,3
1490,1
1491,3
1492,4
1493,2
1494,4
1495,2
1496,4
1497,2
1498,3
1499,4
1500,4
